id,DISTRICT,SUB_DISTRI,COUNT_REQ,floors,UP_DMG,WALL_DMG,FLOOR_DMG,PILLAR_DMG,STRUCTURE_,BLDG_T,ZONE,ZONE_GROUP,SUB_ZONE,SoftClay_m,WaterConte,LiquidLimi,Plasticity,Total_Unit,Score_Rang,Zoning,total_dmg_score,total_dmg_class,total_dmg_class_id
1425530149,??????,??????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425530150,??????,??????,1,,0,1,0,1,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.325888917,???????,3
1425530151,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425530152,??????,??????,1,,0,0,0,1,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.207248399,????,2
1425530153,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530154,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530155,??????,??????,2,,0,0,0,0,0,building,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530156,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530157,??????,??????,1,,0,0,0,0,0,bridge,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530158,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530159,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530160,??????,??????,1,,0,0,0,0,0,bridge,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530161,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530162,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530163,??????,???????,1,,0,0,0,0,0,house,?.?,????? : ??????????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530164,??????,??????,1,,0,1,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0.118640518,???????,1
1425530165,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530166,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530167,??????,??????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530168,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530169,??????,??????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530170,??????,??????,1,,0,1,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0.118640518,???????,1
1425530171,??????,??????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530172,??????,??????,1,,0,0,1,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0.178414651,???????,1
1425530173,??????,???????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530174,??????,??????,1,,0,0,0,0,0,factory,?.?,?????? : ??????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530175,??????,??????,1,,0,0,0,0,0,house,?.?,?????? : ??????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530176,??????,??????,1,,0,1,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0.118640518,???????,1
1425530177,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530178,??????,??????,1,,0,0,0,0,0,temple,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530179,??????,??????,1,,1,1,0,1,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0.500210695,??????,4
1425530180,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530181,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530182,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530183,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530184,??????,??????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530185,??????,??????,1,,0,0,0,0,0,building,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530186,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530187,??????,??????,1,,0,0,0,0,0,apartment,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530188,??????,??????,1,,0,0,0,0,0,building,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530189,??????,??????,1,,0,1,0,0,0,building,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0.118640518,???????,1
1425530190,??????,??????,1,,0,0,0,0,0,building,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530191,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530192,??????,??????,1,,0,0,0,0,0,building,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530193,??????,??????,1,,0,0,0,0,1,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0.202734137,???????,1
1425530194,??????,??????,1,,0,0,0,0,0,house,?.?,????? : ??????????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530195,??????,??????,1,,0,0,0,1,0,house,?.,?????????????,?.-?,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0.207248399,????,2
1425530196,??????,??????,1,,0,0,0,0,0,building,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530197,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530198,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530199,??????,??????,2,,1,2,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0.411602814,???????,3
1425530200,??????,??????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530201,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530202,??????,??????,1,,0,0,0,0,0,condo,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530203,??????,??????,1,,0,0,0,0,0,condo,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530204,??????,??????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530205,??????,??????,2,,0,0,0,2,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0.207248399,????,2
1425530206,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530207,??????,??????,1,,0,0,1,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0.178414651,???????,1
1425530208,??????,??????,1,,0,0,0,0,0,building,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530209,??????,??????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530210,??????,??????,2,,0,0,0,0,0,building,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530211,??????,??????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530212,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530213,????????,???????,1,,0,0,1,0,1,condo,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0.381148787,???????,3
1425530214,????????,???????,1,,0,0,0,0,0,condo,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530215,????????,???????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530216,??????,??????,1,,0,0,0,1,0,bridge,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0.207248399,????,2
1425530217,????????,???????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1425530218,????????,???????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
